title,album,song_release_date,album_release_date,collaborators,youtube_url
Asylum (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=K9T6ASpDtVI
Bad Company (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=IImkLCKxAcs
Caskets (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=Hd19DLlHA7w
Down the Road (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=6jPLEVrL4BI
Dr. Meyers (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=GKTthHxp9_A
End of the World (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=O7ICrxgpmlI
Instigator (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=uoIlEWKReqE
Lunatic Lullaby (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=ExIP3rlANp0
MadHouse (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=7meWEiJEHeI
Mason Jar (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=cGo0pVcUt5o
Me and My Monster (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=ZU0yRhvoQj8
Neurodivergent (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=7y4MUCCHFGY
Richard's Tale - Acceptance,Vincent's Tale,,2026-01-01,,https://www.youtube.com/watch?v=YFIwZZUSZWw
Richard's Tale - Locked Up,Vincent's Tale,,2026-01-01,,https://www.youtube.com/watch?v=34eTNYltBpc
Richard's Tale - Set The Scene,Vincent's Tale,,2026-01-01,,https://www.youtube.com/watch?v=wq6Ldhjgn30
Richard's Tale - The Five Stages of Grief,Vincent's Tale,,2026-01-01,,https://www.youtube.com/watch?v=8wcAN3iloAc
Silence (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=A27AV1iHl_Q
Smoking Gun (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=O431N-XdZpQ
Tarantula (Inpatient),Asylum,,2026-01-01,,https://www.youtube.com/watch?v=0DTrjpIb4QI
Vincent's Tale - 01 - Sunflowers - Prologue,Vincent's Tale,,2026-01-01,,https://www.youtube.com/watch?v=vZ1MnVHARME
Vincent's Tale - 02 - Self Portrait,Vincent's Tale,,2026-01-01,,https://www.youtube.com/watch?v=d-myXdYvu3w
Vincent's Tale - 03 - The Bedroom,Vincent's Tale,,2026-01-01,,https://www.youtube.com/watch?v=Xu8Xm4gpDP8
Vincent's Tale - Act I,Vincent's Tale,,2026-01-01,,https://www.youtube.com/watch?v=jWoCxavSQ2g
Vincent's Tale - Act II,Vincent's Tale,,2026-01-01,,https://www.youtube.com/watch?v=FDS2h4zU-vQ
Vincent's Tale - Act III,Vincent's Tale,,2026-01-01,,https://www.youtube.com/watch?v=XG1PEvsATKM
Vincent's Tale - Act IV,Vincent's Tale,,2026-01-01,,https://www.youtube.com/watch?v=sa5qZgNM014
CTRL ALT DELETE (Skinner Brothers),Sick Sick Soul Vol. 1,,2025-01-01,,https://www.youtube.com/watch?v=X--PXyB1Zw0
Dream Life (Skinner Brothers),Sick Sick Soul Vol. 1,,2025-01-01,,https://www.youtube.com/watch?v=0HhRNbZ0wRY
Pink Heineken (Skinner Brothers),Sick Sick Soul Vol. 1,,2025-01-01,,https://www.youtube.com/watch?v=Ra8gSw7Djvo
So The Story Goes (Skinner Brothers),Sick Sick Soul Vol. 1,,2025-01-01,,https://www.youtube.com/watch?v=u1qtyMPokZM
Truth Or Dare (Skinner Brothers),Sick Sick Soul Vol. 1,,2025-01-01,,https://www.youtube.com/watch?v=FmaBhsRfhIw
Two's On a Cigarette (Skinner Brothers),Sick Sick Soul Vol. 1,,2025-01-01,,https://www.youtube.com/watch?v=1WCfWxgEY8E
Animal Flow,Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=F4mUnmFbVNg
Castles Made of Sand,Sick Boi (Digital Deluxe),,2023-01-01,,https://soundcloud.com/ethan-fearn/ren-18-castles-made-of-sand
Down On The Beat,Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=XjN7TZh-UY0
Genesis,Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=YzsTdLIcbzU
Illest Of Our Time,Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=tB-JGSdBerE
Loco,Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=AFl2tn7Ty2k
Lost All Faith,Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=hVuTGHClU_A
"Love Music, Pt. 4",Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=INheMTgUsuI
Masochist,Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=OKST_i7Caxw
"Money Game, Pt. 3",Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=nyWbun_PbTc
Murderer,Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=hscHqw7CIFo
Seven Sins,Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=bXS2MF5XW60
Sick Boi,Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=3Q6uCrpzbPY
"Sick Boi, Pt. 2",Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=D-dzHgxoDEw
Suic*de,Sick Boi (Digital Deluxe),,2023-01-01,,https://www.youtube.com/watch?v=n3JNtfi4Vb0
